season,strategy,management_mode,paired_simulations,rank_improvement_vs_frozen,points_added_vs_frozen
2023,adp,weekly_lineups,500,-0.062,68.50700000000003
2023,adp,lineups_plus_waivers,500,-0.108,83.14256000000002
2023,model_only,weekly_lineups,500,-1.616,8.20983999999999
2023,model_only,lineups_plus_waivers,500,-1.406,27.308159999999983
2023,target_intel,weekly_lineups,500,-0.23,50.687480000000015
2023,target_intel,lineups_plus_waivers,500,-0.314,57.08544000000001
2024,adp,weekly_lineups,500,0.572,78.63988
2024,adp,lineups_plus_waivers,500,0.198,70.94712000000001
2024,model_only,weekly_lineups,500,-0.256,53.84095999999999
2024,model_only,lineups_plus_waivers,500,-0.458,49.37779999999998
2024,target_intel,weekly_lineups,500,-0.13,39.21003999999999
2024,target_intel,lineups_plus_waivers,500,-0.39,31.71124
2025,adp,weekly_lineups,500,0.212,49.816079999999985
2025,adp,lineups_plus_waivers,500,0.238,33.8694
2025,model_only,weekly_lineups,500,-1.986,-38.275119999999994
2025,model_only,lineups_plus_waivers,500,-0.532,-5.991839999999992
2025,target_intel,weekly_lineups,500,-0.112,44.92376
2025,target_intel,lineups_plus_waivers,500,0.482,43.17792000000001
