season,management_mode,strategy,paired_simulations,avg_rank_improvement_vs_adp,avg_points_delta_vs_adp,beat_adp_rank_rate
2023,frozen_lineup,target_intel,500,2.368,120.46648,0.644
2023,frozen_lineup,model_only,500,-0.2,15.675920000000032,0.45
2023,lineups_plus_waivers,target_intel,500,2.162,94.40936000000004,0.648
2023,lineups_plus_waivers,model_only,500,-1.498,-40.15848,0.328
2023,weekly_lineups,target_intel,500,2.2,102.64696000000002,0.65
2023,weekly_lineups,model_only,500,-1.754,-44.62124,0.328
2024,frozen_lineup,target_intel,500,2.682,121.36136000000002,0.68
2024,frozen_lineup,model_only,500,3.758,174.06052000000003,0.752
2024,lineups_plus_waivers,target_intel,500,2.094,82.12548000000001,0.636
2024,lineups_plus_waivers,model_only,500,3.102,152.4912,0.712
2024,weekly_lineups,target_intel,500,1.98,81.93152,0.622
2024,weekly_lineups,model_only,500,2.93,149.26160000000002,0.688
2025,frozen_lineup,target_intel,500,-0.234,-21.80424,0.406
2025,frozen_lineup,model_only,500,-0.004,-3.64568000000001,0.46
2025,lineups_plus_waivers,target_intel,500,0.01,-12.49572,0.44
2025,lineups_plus_waivers,model_only,500,-0.774,-43.506920000000015,0.388
2025,weekly_lineups,target_intel,500,-0.558,-26.696559999999995,0.378
2025,weekly_lineups,model_only,500,-2.202,-91.73688,0.254
