season,adp_source,true_adp,episode,seed,draft_slot,strategy,regular_rank,regular_wins,managed_points,oracle_lineup_points,made_playoffs,champion
2023,Fantasy Football Calculator ADP,True,0,93230000,1,adp,7,7.0,1229.34,1555.1799999999998,False,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,target_intel,5,8.0,1270.6399999999999,1587.1399999999999,True,False
2023,Fantasy Football Calculator ADP,True,0,93230000,1,model_only,7,7.0,1125.7199999999998,1431.3400000000004,False,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,adp,12,3.0,1026.08,1358.9399999999998,False,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,target_intel,4,8.0,1300.06,1584.2600000000002,True,False
2023,Fantasy Football Calculator ADP,True,1,93230001,2,model_only,6,8.0,1130.22,1503.46,True,True
2023,Fantasy Football Calculator ADP,True,2,93230002,3,adp,8,5.0,1211.78,1517.3400000000001,False,False
2023,Fantasy Football Calculator ADP,True,2,93230002,3,target_intel,1,10.0,1232.04,1446.54,True,False
2023,Fantasy Football Calculator ADP,True,2,93230002,3,model_only,4,8.0,1186.68,1532.78,True,False
2023,Fantasy Football Calculator ADP,True,3,93230003,4,adp,10,6.0,1183.2600000000002,1490.8000000000002,False,False
2023,Fantasy Football Calculator ADP,True,3,93230003,4,target_intel,1,10.0,1259.54,1557.14,True,False
2023,Fantasy Football Calculator ADP,True,3,93230003,4,model_only,11,5.0,1160.18,1479.52,False,False
2023,Fantasy Football Calculator ADP,True,4,93230004,5,adp,6,8.0,1220.5000000000002,1598.6200000000001,True,False
2023,Fantasy Football Calculator ADP,True,4,93230004,5,target_intel,6,7.0,1177.56,1467.2000000000003,True,False
2023,Fantasy Football Calculator ADP,True,4,93230004,5,model_only,8,6.0,1144.98,1501.1799999999998,False,False
2023,Fantasy Football Calculator ADP,True,5,93230005,6,adp,5,7.0,1117.3799999999997,1512.66,True,False
2023,Fantasy Football Calculator ADP,True,5,93230005,6,target_intel,1,13.0,1367.54,1637.5400000000002,True,False
2023,Fantasy Football Calculator ADP,True,5,93230005,6,model_only,9,7.0,1138.8799999999999,1469.6599999999999,False,False
2023,Fantasy Football Calculator ADP,True,6,93230006,7,adp,2,9.0,1369.0799999999997,1704.6200000000001,True,False
2023,Fantasy Football Calculator ADP,True,6,93230006,7,target_intel,3,8.0,1247.08,1574.6800000000003,True,False
2023,Fantasy Football Calculator ADP,True,6,93230006,7,model_only,5,8.0,1110.7200000000003,1469.16,True,False
2023,Fantasy Football Calculator ADP,True,7,93230007,8,adp,7,6.0,1273.86,1481.68,False,False
2023,Fantasy Football Calculator ADP,True,7,93230007,8,target_intel,8,7.0,1242.42,1441.6000000000001,False,False
2023,Fantasy Football Calculator ADP,True,7,93230007,8,model_only,6,8.0,1153.36,1465.46,True,False
2023,Fantasy Football Calculator ADP,True,8,93230008,9,adp,5,8.0,1167.14,1546.1399999999999,True,False
2023,Fantasy Football Calculator ADP,True,8,93230008,9,target_intel,4,8.0,1323.84,1635.4399999999998,True,False
2023,Fantasy Football Calculator ADP,True,8,93230008,9,model_only,5,8.0,1238.98,1509.38,True,False
2023,Fantasy Football Calculator ADP,True,9,93230009,10,adp,8,7.0,1119.08,1359.3800000000003,False,False
2023,Fantasy Football Calculator ADP,True,9,93230009,10,target_intel,3,8.0,1314.22,1551.18,True,False
2023,Fantasy Football Calculator ADP,True,9,93230009,10,model_only,4,8.0,1160.4600000000003,1515.3600000000004,True,False
2023,Fantasy Football Calculator ADP,True,10,93230010,11,adp,4,8.0,1199.9199999999998,1575.9399999999998,True,False
2023,Fantasy Football Calculator ADP,True,10,93230010,11,target_intel,3,8.0,1327.5200000000002,1661.9999999999998,True,False
2023,Fantasy Football Calculator ADP,True,10,93230010,11,model_only,7,6.0,1154.18,1452.0800000000002,False,False
2023,Fantasy Football Calculator ADP,True,11,93230011,12,adp,11,5.0,1112.22,1417.6399999999999,False,False
2023,Fantasy Football Calculator ADP,True,11,93230011,12,target_intel,9,6.0,1282.42,1590.6200000000001,False,False
2023,Fantasy Football Calculator ADP,True,11,93230011,12,model_only,12,2.0,1029.42,1549.8200000000002,False,False
2023,Fantasy Football Calculator ADP,True,12,93230012,1,adp,11,5.0,1073.76,1339.0200000000002,False,False
2023,Fantasy Football Calculator ADP,True,12,93230012,1,target_intel,10,5.0,1200.68,1441.4000000000003,False,False
2023,Fantasy Football Calculator ADP,True,12,93230012,1,model_only,12,3.0,1116.98,1415.26,False,False
2023,Fantasy Football Calculator ADP,True,13,93230013,2,adp,9,5.0,978.0600000000001,1261.9399999999998,False,False
2023,Fantasy Football Calculator ADP,True,13,93230013,2,target_intel,2,11.0,1254.42,1516.9800000000002,True,True
2023,Fantasy Football Calculator ADP,True,13,93230013,2,model_only,8,6.0,1104.02,1434.8000000000004,False,False
2023,Fantasy Football Calculator ADP,True,14,93230014,3,adp,10,5.0,1094.8000000000002,1412.08,False,False
2023,Fantasy Football Calculator ADP,True,14,93230014,3,target_intel,2,10.0,1321.44,1686.14,True,False
2023,Fantasy Football Calculator ADP,True,14,93230014,3,model_only,5,8.0,1153.1799999999998,1475.76,True,False
2023,Fantasy Football Calculator ADP,True,15,93230015,4,adp,9,6.0,1139.1200000000001,1362.92,False,False
2023,Fantasy Football Calculator ADP,True,15,93230015,4,target_intel,7,6.0,1228.14,1497.8399999999997,False,False
2023,Fantasy Football Calculator ADP,True,15,93230015,4,model_only,6,7.0,1180.42,1481.9,True,False
2023,Fantasy Football Calculator ADP,True,16,93230016,5,adp,2,10.0,1437.36,1622.1399999999999,True,False
2023,Fantasy Football Calculator ADP,True,16,93230016,5,target_intel,8,6.0,1197.38,1436.9400000000003,False,False
2023,Fantasy Football Calculator ADP,True,16,93230016,5,model_only,5,8.0,1257.3799999999999,1519.66,True,False
2023,Fantasy Football Calculator ADP,True,17,93230017,6,adp,6,7.0,1267.0800000000002,1542.02,True,False
2023,Fantasy Football Calculator ADP,True,17,93230017,6,target_intel,9,5.0,1176.5000000000002,1466.6000000000004,False,False
2023,Fantasy Football Calculator ADP,True,17,93230017,6,model_only,12,4.0,1023.8800000000002,1424.0200000000002,False,False
2023,Fantasy Football Calculator ADP,True,18,93230018,7,adp,10,5.0,1047.4,1383.28,False,False
2023,Fantasy Football Calculator ADP,True,18,93230018,7,target_intel,5,9.0,1219.6399999999999,1523.14,True,False
2023,Fantasy Football Calculator ADP,True,18,93230018,7,model_only,6,9.0,1205.88,1546.9600000000003,True,False
2023,Fantasy Football Calculator ADP,True,19,93230019,8,adp,4,8.0,1356.7799999999997,1644.58,True,False
2023,Fantasy Football Calculator ADP,True,19,93230019,8,target_intel,1,11.0,1284.74,1651.44,True,False
2023,Fantasy Football Calculator ADP,True,19,93230019,8,model_only,8,6.0,1131.98,1430.9799999999998,False,False
2023,Fantasy Football Calculator ADP,True,20,93230020,9,adp,1,10.0,1358.98,1517.8600000000004,True,True
2023,Fantasy Football Calculator ADP,True,20,93230020,9,target_intel,3,8.0,1463.98,1733.7800000000002,True,False
2023,Fantasy Football Calculator ADP,True,20,93230020,9,model_only,5,8.0,1153.3799999999999,1495.8200000000002,True,False
2023,Fantasy Football Calculator ADP,True,21,93230021,10,adp,1,11.0,1289.2799999999997,1581.48,True,False
2023,Fantasy Football Calculator ADP,True,21,93230021,10,target_intel,1,13.0,1379.18,1567.0800000000002,True,False
2023,Fantasy Football Calculator ADP,True,21,93230021,10,model_only,7,7.0,1229.78,1513.3799999999999,False,False
2023,Fantasy Football Calculator ADP,True,22,93230022,11,adp,6,7.0,1202.22,1448.8200000000002,True,True
2023,Fantasy Football Calculator ADP,True,22,93230022,11,target_intel,8,7.0,1203.52,1598.2999999999997,False,False
2023,Fantasy Football Calculator ADP,True,22,93230022,11,model_only,4,8.0,1214.8799999999999,1541.58,True,False
2023,Fantasy Football Calculator ADP,True,23,93230023,12,adp,3,8.0,1310.9799999999998,1484.64,True,True
2023,Fantasy Football Calculator ADP,True,23,93230023,12,target_intel,10,5.0,1113.7,1451.1000000000001,False,False
2023,Fantasy Football Calculator ADP,True,23,93230023,12,model_only,7,7.0,1156.2800000000002,1498.8799999999999,False,False
2023,Fantasy Football Calculator ADP,True,24,93230024,1,adp,12,3.0,981.5799999999999,1274.84,False,False
2023,Fantasy Football Calculator ADP,True,24,93230024,1,target_intel,4,8.0,1203.24,1404.24,True,False
2023,Fantasy Football Calculator ADP,True,24,93230024,1,model_only,10,5.0,1158.9799999999998,1449.3999999999999,False,False
2023,Fantasy Football Calculator ADP,True,25,93230025,2,adp,12,4.0,1034.8,1294.78,False,False
2023,Fantasy Football Calculator ADP,True,25,93230025,2,target_intel,4,8.0,1226.3000000000002,1456.3400000000001,True,True
2023,Fantasy Football Calculator ADP,True,25,93230025,2,model_only,6,8.0,1172.7800000000002,1480.96,True,False
2023,Fantasy Football Calculator ADP,True,26,93230026,3,adp,7,6.0,1275.6200000000001,1554.74,False,False
2023,Fantasy Football Calculator ADP,True,26,93230026,3,target_intel,5,8.0,1295.8400000000001,1591.84,True,False
2023,Fantasy Football Calculator ADP,True,26,93230026,3,model_only,5,8.0,1195.08,1557.5800000000002,True,False
2023,Fantasy Football Calculator ADP,True,27,93230027,4,adp,2,8.0,1271.02,1456.1599999999999,True,False
2023,Fantasy Football Calculator ADP,True,27,93230027,4,target_intel,5,8.0,1176.6799999999998,1468.54,True,False
2023,Fantasy Football Calculator ADP,True,27,93230027,4,model_only,7,7.0,1157.68,1531.28,False,False
2023,Fantasy Football Calculator ADP,True,28,93230028,5,adp,1,12.0,1358.88,1526.52,True,False
2023,Fantasy Football Calculator ADP,True,28,93230028,5,target_intel,8,7.0,1184.74,1562.54,False,False
2023,Fantasy Football Calculator ADP,True,28,93230028,5,model_only,7,7.0,1163.38,1436.3000000000002,False,False
2023,Fantasy Football Calculator ADP,True,29,93230029,6,adp,12,5.0,1173.88,1455.1,False,False
2023,Fantasy Football Calculator ADP,True,29,93230029,6,target_intel,5,8.0,1259.14,1661.6399999999999,True,False
2023,Fantasy Football Calculator ADP,True,29,93230029,6,model_only,11,4.0,1078.52,1432.06,False,False
