iter	Passed	Remaining
0	0	174
1	1	117
2	1	97
3	1	86
4	2	79
5	2	76
6	2	73
7	2	70
8	3	68
9	3	66
10	3	65
11	4	63
12	4	62
13	4	61
14	4	60
15	5	61
16	5	60
17	5	59
18	6	60
19	6	60
20	6	59
21	7	59
22	7	58
23	7	58
24	8	57
25	8	57
26	8	56
27	9	55
28	9	55
29	9	54
30	9	54
31	10	53
32	10	52
33	10	52
34	11	51
35	11	51
36	11	51
37	11	50
38	12	50
39	12	49
40	12	49
41	13	48
42	13	48
43	13	47
44	13	47
45	14	47
46	14	47
47	14	47
48	15	46
49	15	46
50	15	45
51	15	45
52	16	45
53	16	44
54	16	44
55	17	44
56	17	43
57	17	43
58	18	43
59	18	42
60	18	42
61	18	41
62	19	41
63	19	41
64	19	40
65	19	40
66	20	40
67	20	39
68	20	39
69	21	39
70	21	38
71	21	38
72	22	38
73	22	37
74	22	37
75	22	37
76	23	36
77	23	36
78	23	36
79	23	35
80	24	35
81	24	35
82	24	34
83	25	34
84	25	34
85	25	34
86	26	34
87	26	34
88	27	33
89	27	33
90	27	32
91	27	32
92	28	32
93	28	31
94	28	31
95	28	31
96	29	31
97	29	30
98	30	30
99	30	30
100	30	30
101	30	29
102	31	29
103	31	29
104	31	28
105	32	28
106	32	28
107	32	27
108	32	27
109	33	27
110	33	26
111	33	26
112	33	26
113	34	25
114	34	25
115	34	25
116	35	24
117	35	24
118	35	24
119	36	24
120	36	23
121	36	23
122	36	23
123	37	22
124	37	22
125	37	22
126	38	21
127	38	21
128	38	21
129	39	21
130	39	20
131	39	20
132	40	20
133	40	19
134	40	19
135	40	19
136	41	18
137	41	18
138	41	18
139	41	17
140	42	17
141	42	17
142	42	17
143	42	16
144	43	16
145	43	16
146	43	15
147	44	15
148	44	15
149	44	14
150	44	14
151	45	14
152	45	14
153	45	13
154	46	13
155	46	13
156	46	12
157	47	12
158	47	12
159	47	11
160	47	11
161	48	11
162	48	10
163	48	10
164	48	10
165	49	10
166	49	9
167	49	9
168	50	9
169	50	8
170	50	8
171	50	8
172	51	7
173	51	7
174	51	7
175	52	7
176	52	6
177	52	6
178	53	6
179	53	5
180	53	5
181	53	5
182	54	5
183	54	4
184	54	4
185	55	4
186	55	3
187	55	3
188	56	3
189	56	2
190	56	2
191	56	2
192	57	2
193	57	1
194	57	1
195	58	1
196	58	0
197	58	0
198	58	0
199	59	0
