model,position,season,n_players,ranked_adp_n,ranked_adp_rate,adp_sources,mae,rmse,r2
adp_ridge,QB,2024,63,23,0.36507936507936506,ffc,68.17963563401345,87.3685288927047,0.4779079280262375
catboost,QB,2024,63,23,0.36507936507936506,ffc,56.18532732382975,70.51947742243964,0.659861945875919
adp_ridge,QB,2025,71,21,0.29577464788732394,espn_preseason_rank_proxy,80.8475770863174,96.33788713020218,0.27150173956800094
catboost,QB,2025,71,21,0.29577464788732394,espn_preseason_rank_proxy,71.26156151324676,91.60326088862057,0.34134779123669734
adp_ridge,RB,2024,129,52,0.40310077519379844,ffc,42.57797050560339,55.54201418310831,0.5802790770565457
catboost,RB,2024,129,52,0.40310077519379844,ffc,39.058435504401444,53.84247128182256,0.6055723615731584
adp_ridge,RB,2025,140,52,0.37142857142857144,espn_preseason_rank_proxy,42.34560064347518,54.3619452127166,0.6072553632867244
catboost,RB,2025,140,52,0.37142857142857144,espn_preseason_rank_proxy,38.603762296824264,53.95996587783485,0.6130421879907683
adp_ridge,TE,2024,110,18,0.16363636363636364,ffc,29.622420307775148,38.3792693314958,0.40755953153208724
catboost,TE,2024,110,18,0.16363636363636364,ffc,24.833479156021994,33.38846776916291,0.5516220050188968
adp_ridge,TE,2025,113,17,0.1504424778761062,espn_preseason_rank_proxy,32.05347827605834,41.0426384912263,0.33136556863381283
catboost,TE,2025,113,17,0.1504424778761062,espn_preseason_rank_proxy,22.360869750009627,33.793188023166365,0.5467095998013398
adp_ridge,WR,2024,211,63,0.2985781990521327,ffc,39.69890747235796,48.15349503706261,0.5242165892271323
catboost,WR,2024,211,63,0.2985781990521327,ffc,31.588245644526598,42.24169859893845,0.633869074104555
adp_ridge,WR,2025,215,60,0.27906976744186046,espn_preseason_rank_proxy,35.89754413087999,45.91030168950014,0.4863584280277933
catboost,WR,2025,215,60,0.27906976744186046,espn_preseason_rank_proxy,29.247850962902287,40.87917732127564,0.5927658711518775
