season,scoring,teams,rows,total_drafts,source_start_date,source_end_date,duplicate_player_ids,missing_key_rows,invalid_adp_rows,invalid_sd_rows,invalid_bounds_rows,invalid_draft_count_rows,core_position_rows,quality_status
2019,2qb,12,171,1179,2019-08-30,2019-09-04,0,0,0,0,0,0,147,pass
2019,half-ppr,12,196,984,2019-09-02,2019-09-04,0,0,0,0,0,0,169,pass
2019,ppr,12,200,2167,2019-09-02,2019-09-04,0,0,0,0,0,0,170,pass
2019,standard,12,193,696,2019-09-02,2019-09-04,0,0,0,0,0,0,166,pass
2020,2qb,12,209,916,2020-08-21,2020-09-01,0,0,0,0,0,0,178,pass
2020,half-ppr,12,208,1059,2020-08-30,2020-09-01,0,0,0,0,0,0,178,pass
2020,ppr,12,203,2403,2020-08-30,2020-09-01,0,0,0,0,0,0,174,pass
2020,standard,12,226,2667,2020-08-25,2020-09-01,0,0,0,0,0,0,192,pass
2021,2qb,12,207,1705,2021-08-28,2021-09-01,0,0,0,0,0,0,178,pass
2021,half-ppr,12,222,3949,2021-08-29,2021-09-01,0,0,0,0,0,0,191,pass
2021,ppr,12,211,1709,2021-08-31,2021-09-01,0,0,0,0,0,1,183,warn
2021,standard,12,224,2656,2021-08-28,2021-09-01,0,0,0,0,0,0,190,pass
2022,2qb,12,197,1699,2022-08-31,2022-09-04,0,0,0,0,0,0,169,pass
2022,half-ppr,12,124,1107,2022-09-03,2022-09-04,0,0,0,0,0,0,117,pass
2022,ppr,12,157,1633,2022-09-03,2022-09-04,0,0,0,0,0,0,146,pass
2022,standard,12,195,2112,2022-08-31,2022-09-04,0,0,0,0,0,0,169,pass
2023,2qb,12,193,905,2023-08-30,2023-09-01,0,0,0,0,0,0,166,pass
2023,half-ppr,12,199,4576,2023-08-28,2023-09-01,0,0,0,0,0,0,175,pass
2023,ppr,12,202,3146,2023-08-30,2023-09-01,0,0,0,0,0,0,177,pass
2023,standard,12,192,1104,2023-08-30,2023-09-01,0,0,0,0,0,0,166,pass
2024,2qb,12,212,3580,2024-08-22,2024-09-01,0,0,0,0,0,0,182,pass
2024,half-ppr,12,178,906,2024-08-31,2024-09-01,0,0,0,0,0,0,159,pass
2024,ppr,12,205,1371,2024-08-31,2024-09-01,0,0,0,0,0,0,178,pass
2024,standard,12,180,742,2024-08-30,2024-09-01,0,0,0,0,0,0,161,pass
