Campaign,Ad Group,Keyword,Match Type,Max CPC,Final URL,Status
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Assistant,fantasy football draft assistant,Exact,1.25,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Assistant,fantasy football draft assistant,Phrase,1.00,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Assistant,live fantasy football draft assistant,Exact,1.25,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Assistant,live fantasy football draft assistant,Phrase,1.00,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Assistant,best fantasy football draft assistant,Exact,1.25,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Assistant,fantasy draft assistant 2026,Phrase,1.00,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Tool,fantasy football draft tool,Exact,1.25,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Tool,fantasy football draft tool,Phrase,1.00,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Tool,live fantasy draft tool,Exact,1.25,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Tool,fantasy football draft helper,Exact,1.25,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Tool,fantasy football draft software,Phrase,1.00,https://overadp.com/draft-assistant/,Enabled
GOOG_Search_NonBrand_DraftAssistant_202608,Draft Tool,half ppr draft assistant,Exact,1.25,https://overadp.com/draft-assistant/,Enabled

