fmt,season,ranker,draft_value,rho_QB,hit12_QB,rho_RB,hit12_RB,rho_WR,hit12_WR,rho_TE,hit12_TE,mae,rho_avg,hit12_avg
half,2019,ADP,0.7540543262935231,0.36347826086956525,8,0.748505868732037,7,0.473580586080586,5,0.5252837977296182,9,48.57542658840635,0.5277121283529516,7.25
half,2019,Model,0.6662231810093006,-0.10956521739130433,7,0.6286077742361051,5,0.5126831501831501,5,0.47781217750258,10,50.69195266272189,0.37738447113263274,6.75
half,2019,Blend 50/50,0.7150135983614813,0.05304347826086955,8,0.7401593701996928,6,0.5158424908424908,5,0.47781217750258,9,48.248063304823795,0.4467143792014082,7.0
half,2020,ADP,0.7175431323149536,0.44661884073843927,9,0.5976254614386911,6,0.45215552076957805,6,0.4355020992448613,8,53.195050379636534,0.4829754805478924,7.25
half,2020,Model,0.7124047262174316,0.3556521739130434,8,0.524408616122916,6,0.4458700402293125,5,0.3218045112781954,7,52.598314606741575,0.4119338353858668,6.5
half,2020,Blend 50/50,0.7241245973785757,0.4313043478260869,9,0.5761091878049097,6,0.49026259078936874,5,0.29624060150375936,7,51.73895196462462,0.44847918198103115,6.75
half,2021,ADP,0.7376131649689543,0.7167277167277167,10,0.6651502561234055,8,0.46031401491973,5,0.2863597967904201,8,52.514043186794126,0.5321379461403181,7.75
half,2021,Model,0.70123307515941,0.7045177045177045,9,0.6794568968169085,6,0.5741090593556422,6,0.4936458824355565,8,49.378010471204185,0.6129323857814529,7.25
half,2021,Blend 50/50,0.7674951806266894,0.7692307692307693,9,0.6965688594540196,7,0.5624040324642509,6,0.4947755068804892,8,49.77903383642,0.6307447920073822,7.5
half,2022,ADP,1.0,0.2928571428571428,9,0.4306000918843721,8,0.4981960593197859,7,0.2657342657342658,12,49.119740947939945,0.37184688994889165,9.0
half,2022,Model,1.0,0.23928571428571427,10,0.4100214950218129,7,0.6528724293091426,8,0.09090909090909093,12,52.292820512820505,0.34827218238144014,9.25
half,2022,Blend 50/50,1.0,0.41785714285714276,10,0.4749286447150219,7,0.6397360390349268,8,0.1398601398601399,12,48.62573600406881,0.4180954916168078,9.25
half,2023,ADP,0.6096879718168092,0.2895652173913043,7,0.412045763424514,5,0.6989327543233077,7,0.4270676691729323,9,54.90378364089729,0.45690285107801454,7.0
half,2023,Model,0.5719879214896829,0.28521739130434776,7,0.49197095228735416,5,0.6397719651240777,8,0.5458646616541353,8,53.54563218390804,0.49070624259247875,7.0
half,2023,Blend 50/50,0.6128434826371414,0.2791304347826086,7,0.4668975292364156,6,0.6774983232729711,8,0.4781954887218045,9,52.16700698145276,0.47543044400344997,7.5
half,2024,ADP,0.7462724152098712,0.46640316205533605,7,0.5334623447830995,8,0.441150209598432,5,0.482189016245743,8,54.61935360345273,0.4808011831706526,7.0
half,2024,Model,0.7872559674490729,0.5454545454545454,10,0.609498467989034,7,0.3993131868131868,4,0.5503356438093813,9,55.39911392405062,0.5261504610165368,7.5
half,2024,Blend 50/50,0.7757551258432624,0.5138339920948617,9,0.5998226092565715,8,0.4378663003663003,4,0.5998968274920272,9,53.70941037100307,0.5378549323024402,7.5
half,2025,ADP,0.910847956164536,-0.07897706462989713,7,0.7017505769988605,9,0.5104059573758648,5,-0.04642857142857142,9,57.89505390271671,0.27168772457906415,7.5
half,2025,Model,0.8352693301254082,-0.15939849624060148,7,0.612207235549907,7,0.39358701847391653,4,0.049999999999999996,10,57.39937062937064,0.2240989394458055,7.0
half,2025,Blend 50/50,0.8477579870732666,-0.13984962406015036,7,0.6677341441382175,9,0.4606343517303627,4,0.06785714285714285,10,56.5410313508925,0.2640940036663932,7.5
