season,seed,seat,arm,points,rank,top3,win,field_avg
2019,0,0,ADP order,1755.36,5,0,0,1773.7300000000002
2019,0,0,ADP value,1615.9399999999998,11,0,0,1770.8766666666668
2019,0,0,Model,1799.1999999999998,6,0,0,1771.4766666666667
2019,0,0,Blend,1750.72,5,0,0,1741.835
2019,0,1,ADP order,1580.1999999999996,10,0,0,1765.6016666666662
2019,0,1,ADP value,1636.0799999999995,11,0,0,1773.2016666666666
2019,0,1,Model,1734.1000000000001,6,0,0,1777.3716666666667
2019,0,1,Blend,2013.76,2,1,0,1748.4583333333333
2019,0,2,ADP order,1914.6799999999998,2,1,0,1764.4350000000002
2019,0,2,ADP value,1928.1800000000003,3,1,0,1779.1666666666667
2019,0,2,Model,1734.1000000000001,6,0,0,1777.3716666666662
2019,0,2,Blend,2013.76,2,1,0,1748.4583333333333
2019,0,3,ADP order,1707.9400000000003,8,0,0,1767.2733333333333
2019,0,3,ADP value,1826.7800000000002,5,0,0,1781.265
2019,0,3,Model,1688.8799999999997,7,0,0,1778.6933333333334
2019,0,3,Blend,1877.64,3,1,0,1744.7949999999998
2019,0,4,ADP order,1707.9400000000003,8,0,0,1767.2733333333333
2019,0,4,ADP value,1848.7599999999998,3,1,0,1771.4416666666666
2019,0,4,Model,1693.2799999999997,7,0,0,1778.5016666666663
2019,0,4,Blend,1838.14,3,1,0,1762.9233333333332
2019,0,5,ADP order,1728.7200000000003,8,0,0,1762.2600000000002
2019,0,5,ADP value,1828.2599999999998,4,0,0,1773.945
2019,0,5,Model,1693.2799999999997,7,0,0,1778.5016666666663
2019,0,5,Blend,1859.14,3,1,0,1764.6149999999998
2019,0,6,ADP order,1612.9199999999998,9,0,0,1756.905
2019,0,6,ADP value,1887.46,3,1,0,1785.665
2019,0,6,Model,1773.28,5,0,0,1775.993333333333
2019,0,6,Blend,1733.64,4,0,0,1757.345
2019,0,7,ADP order,1612.9199999999998,9,0,0,1756.905
2019,0,7,ADP value,1887.46,3,1,0,1785.665
2019,0,7,Model,1643.7800000000002,11,0,0,1761.668333333333
2019,0,7,Blend,1692.98,7,0,0,1766.168333333333
2019,0,8,ADP order,1795.0199999999998,5,0,0,1783.5949999999996
2019,0,8,ADP value,1777.3799999999999,7,0,0,1788.3616666666665
