pos,mae_rel,rho_rel,hit12,capture,year,model,fmt,draft_value
QB,76.3218422619014,0.09810901001112346,7,0.8912935339046552,2025,model,std,0.43431210052258373
RB,56.852512485360116,0.5949058449445093,7,0.884025396236908,2025,model,std,0.43431210052258373
WR,41.629075960342945,0.4268994292041233,4,0.8916302877306519,2025,model,std,0.43431210052258373
TE,30.47757905745649,0.4649859943977591,7,0.8353849966953073,2025,model,std,0.43431210052258373
QB,102.66933333333334,0.032484147492144094,7,0.8593503050757809,2025,prior season,std,0.22118313742783438
RB,75.34468749999999,0.3062741709240808,9,0.7766088917724844,2025,prior season,std,0.22118313742783438
WR,53.53975308641976,0.18962401991108804,4,0.8123544261426238,2025,prior season,std,0.22118313742783438
TE,48.3,-0.08633498966399838,5,0.7345505617977528,2025,prior season,std,0.22118313742783438
QB,89.77188795132352,0.15975080752985932,7,0.8924458325200079,2025,screen-feature HGB,std,0.3242907612690013
RB,76.1048506375358,0.2737933271532226,4,0.7990726151120997,2025,screen-feature HGB,std,0.3242907612690013
WR,47.14460073914802,0.25338258017120485,4,0.8525920863610371,2025,screen-feature HGB,std,0.3242907612690013
TE,39.21572838611308,0.06334970020799881,5,0.8073364177131527,2025,screen-feature HGB,std,0.3242907612690013
QB,76.68419421000193,0.09944382647385984,7,0.8912576199602833,2025,model,half,0.5350212121497173
RB,61.20000505847729,0.6048194160213632,7,0.8872817943478787,2025,model,half,0.5350212121497173
WR,52.343026821830335,0.43902953586497895,4,0.8894446948625204,2025,model,half,0.5350212121497173
TE,38.498569009380795,0.4266106442577031,6,0.8842831376768029,2025,model,half,0.5350212121497173
QB,102.73600000000002,0.037379019032056225,7,0.8594056352301015,2025,prior season,half,0.27073946212384886
RB,80.76656249999999,0.2956614020913495,9,0.7787364364952745,2025,prior season,half,0.27073946212384886
WR,66.68775000000001,0.2454089908329688,3,0.8151364900669532,2025,prior season,half,0.27073946212384886
TE,60.48571428571429,-0.05101613025599904,4,0.7474606841122677,2025,prior season,half,0.27073946212384886
QB,75.4828105694412,0.11857619577308119,7,0.8912217342611584,2025,model,ppr,0.5756039355907748
RB,67.84204203538859,0.5986270469189505,6,0.8881461239997109,2025,model,ppr,0.5756039355907748
WR,61.576413777502694,0.43255977496483833,5,0.8928480714104287,2025,model,ppr,0.5756039355907748
TE,47.784182897649124,0.4064425770308124,6,0.8900317265377136,2025,model,ppr,0.5756039355907748
QB,102.80266666666668,0.037379019032056225,7,0.8594609218689048,2025,prior season,ppr,0.3764142042796775
RB,88.42603174603175,0.3072248028693872,8,0.7804676443964692,2025,prior season,ppr,0.3764142042796775
WR,79.15525,0.25183466364526025,4,0.8196505678725643,2025,prior season,ppr,0.3764142042796775
TE,72.76857142857143,-0.05395936853999899,4,0.7558080032749974,2025,prior season,ppr,0.3764142042796775
