pos,mae_rel,rho_rel,hit12,capture,year,model,fmt,draft_value
QB,83.03399619739395,0.2595307917888563,6,0.8536309455551871,2019,model,std,0.30907931678616574
RB,49.15657918160131,0.630717528289474,6,0.8961445557738125,2019,model,std,0.30907931678616574
WR,44.04140391578216,0.36224126854350525,5,0.7950333454462746,2019,model,std,0.30907931678616574
TE,30.19358407041351,0.38518103603107184,6,0.8111730299820383,2019,model,std,0.30907931678616574
QB,80.21758814083206,0.5061179087875418,8,0.9148281316594155,2020,model,std,0.47018580078356886
RB,52.79570616552323,0.3479879275653923,5,0.8394107877825113,2020,model,std,0.47018580078356886
WR,39.098919562513714,0.4485700890764182,5,0.8573551525873505,2020,model,std,0.47018580078356886
TE,31.15013519572878,0.4107620320855615,5,0.8809677447108726,2020,model,std,0.47018580078356886
QB,60.307384160951564,0.7462687174336836,8,0.9238703252008277,2021,model,std,0.5300491505262922
RB,48.0466850184841,0.5795928527698507,5,0.8793706638701183,2021,model,std,0.5300491505262922
WR,39.598358642734496,0.49106710426169903,6,0.8897560777319625,2021,model,std,0.5300491505262922
TE,30.309037571100944,0.38505615514624114,7,0.8227084914410995,2021,model,std,0.5300491505262922
QB,75.13580711331058,0.4794721407624633,6,0.90291425719345,2022,model,std,0.4436796506468637
RB,53.92429262922265,0.47734350247061147,6,0.8884693827336005,2022,model,std,0.4436796506468637
WR,34.93882309419739,0.6851700694882982,8,0.8989625632305375,2022,model,std,0.4436796506468637
TE,24.97889323062423,0.4766596907691318,7,0.8815807913299387,2022,model,std,0.4436796506468637
QB,74.78754770786567,0.5137138069847869,6,0.844881439162641,2023,model,std,0.32629842591996816
RB,48.56888158164918,0.5066391941391941,5,0.8598793634142639,2023,model,std,0.32629842591996816
WR,40.52325463691313,0.563383984436616,6,0.8584088362253075,2023,model,std,0.32629842591996816
TE,24.12468626444414,0.4318542674056612,7,0.8562737294725767,2023,model,std,0.32629842591996816
QB,72.10059774084144,0.5208944281524927,9,0.9192796642043659,2024,model,std,0.429118555525612
RB,58.41357033647711,0.5020455873758037,7,0.8851828666172492,2024,model,std,0.429118555525612
WR,41.629745425891116,0.41726391638079335,5,0.887313858421156,2024,model,std,0.429118555525612
TE,31.38749364738816,0.46466868493204916,7,0.7603572572200055,2024,model,std,0.429118555525612
QB,121.258125,0.07957462947933316,6,0.7779158673142067,2019,prior season,std,0.22161385219404708
RB,72.57389830508474,0.3087360393395666,5,0.836293557385979,2019,prior season,std,0.22161385219404708
WR,59.455061728395066,0.19259522803389775,4,0.777946255140375,2019,prior season,std,0.22161385219404708
TE,46.30285714285715,-0.04455341604517407,5,0.697139962234606,2019,prior season,std,0.22161385219404708
QB,108.06666666666666,0.2774193548387097,9,0.8558662925237199,2020,prior season,std,0.2542294906802802
RB,77.96169014084508,0.015240021155147979,5,0.7130767564445087,2020,prior season,std,0.2542294906802802
WR,56.82925,0.13526941752656002,4,0.8139356795349717,2020,prior season,std,0.2542294906802802
TE,42.28121212121212,0.04679144385026738,5,0.7899319446953859,2020,prior season,std,0.2542294906802802
QB,109.36387096774193,0.3979828724788332,8,0.8008659299503225,2021,prior season,std,0.24397513297573895
RB,76.08470588235295,0.10315028501746079,4,0.7337499964761236,2021,prior season,std,0.24397513297573895
WR,56.09292682926829,0.1834218747205484,7,0.786587705057557,2021,prior season,std,0.24397513297573895
TE,45.999411764705876,0.032854523227383865,4,0.7727885993760013,2021,prior season,std,0.24397513297573895
QB,95.91187500000001,0.22434017595307917,7,0.843548228143071,2022,prior season,std,0.28632478632478636
RB,78.05876923076924,0.20358231074505362,3,0.7944905870838278,2022,prior season,std,0.28632478632478636
WR,54.67829268292683,0.41732205191762534,5,0.8159247080532773,2022,prior season,std,0.28632478632478636
TE,37.313793103448276,0.2517551441685027,7,0.8901293969262389,2022,prior season,std,0.28632478632478636
QB,132.44117647058823,0.09718826405867971,5,0.7027107384116652,2023,prior season,std,0.09944021011131446
RB,79.78437500000001,0.0683588521458455,2,0.7917790445692834,2023,prior season,std,0.09944021011131446
WR,53.8612987012987,0.3884556243326629,5,0.8227051392218051,2023,prior season,std,0.09944021011131446
TE,35.68787878787879,0.16622095938492396,8,0.7607611728649193,2023,prior season,std,0.09944021011131446
QB,126.786875,0.09364687105717212,6,0.7505152777986731,2024,prior season,std,0.2753011049151101
RB,70.4128813559322,0.3228408627194406,6,0.8795906553757259,2024,prior season,std,0.2753011049151101
WR,58.73585365853658,0.1962597169199272,3,0.8078065022645146,2024,prior season,std,0.2753011049151101
TE,41.864999999999995,0.07479376718606782,6,0.78580144876111,2024,prior season,std,0.2753011049151101
QB,107.46970959971884,0.0018335168082795662,4,0.746709353895933,2019,screen-feature HGB,std,0.08373508126307316
RB,61.954283182328886,0.35407775504238526,6,0.794256174928333,2019,screen-feature HGB,std,0.08373508126307316
WR,54.98903785712941,0.1311344159369956,4,0.74276295322226,2019,screen-feature HGB,std,0.08373508126307316
TE,38.97133731806492,0.03585685280871069,5,0.6935936996269515,2019,screen-feature HGB,std,0.08373508126307316
QB,96.10419912484703,0.41045606229143494,9,0.8630631094482536,2020,screen-feature HGB,std,0.2774397483082038
RB,68.93318849050515,0.04766702652050689,6,0.731605170048379,2020,screen-feature HGB,std,0.2774397483082038
WR,49.06220274123562,0.2766127825453929,6,0.8426208378088076,2020,screen-feature HGB,std,0.2774397483082038
TE,39.35543624099752,0.10594919786096257,4,0.821636596718547,2020,screen-feature HGB,std,0.2774397483082038
QB,102.44380774158823,0.4484115182566884,8,0.8095997757646961,2021,screen-feature HGB,std,0.2939336131247615
RB,65.9583157752204,0.1596432572599435,4,0.7502699289304613,2021,screen-feature HGB,std,0.2939336131247615
WR,51.29771029907631,0.18241092061813519,4,0.7550843603677759,2021,screen-feature HGB,std,0.2939336131247615
TE,41.98449149249903,0.167940097799511,6,0.8005734041656126,2021,screen-feature HGB,std,0.2939336131247615
QB,111.17575762886108,0.009897360703812315,4,0.8225059369208125,2022,screen-feature HGB,std,0.16638643687824012
RB,65.14335193750415,0.2628915017198658,5,0.8143935872970742,2022,screen-feature HGB,std,0.16638643687824012
WR,48.11046843565148,0.4109688554214093,6,0.8125050289398728,2022,screen-feature HGB,std,0.16638643687824012
TE,33.674401571203425,0.1958369272152247,7,0.8645302938291213,2022,screen-feature HGB,std,0.16638643687824012
QB,130.21127579380976,0.017114914425427872,5,0.7033181688848534,2023,screen-feature HGB,std,0.12110647706733267
RB,66.50118687797902,0.16815346326290473,3,0.7956631561512236,2023,screen-feature HGB,std,0.12110647706733267
WR,51.33086892390671,0.41423304032716896,5,0.8423660420404121,2023,screen-feature HGB,std,0.12110647706733267
TE,33.84978934466231,0.2205415343473174,8,0.7833127487306163,2023,screen-feature HGB,std,0.12110647706733267
QB,104.80340433530333,0.2028986360811906,6,0.7861740059275751,2024,screen-feature HGB,std,0.3149111714587781
RB,68.99191496008757,0.3741049287351838,6,0.8325741721039025,2024,screen-feature HGB,std,0.3149111714587781
WR,51.74581727167149,0.19987479825688992,3,0.8103766178302085,2024,screen-feature HGB,std,0.3149111714587781
TE,42.65625789117169,-0.0031161213585186726,6,0.7443464564203309,2024,screen-feature HGB,std,0.3149111714587781
QB,81.58179161600481,0.27382697947214074,7,0.853653623875528,2019,model,half,0.44015278293538085
RB,53.050698108045694,0.6290808192262575,5,0.8943140598281216,2019,model,half,0.44015278293538085
WR,52.40148549295845,0.3880450814194649,5,0.7993794276528532,2019,model,half,0.44015278293538085
TE,38.57946681572678,0.4032434527945946,7,0.8353140916808148,2019,model,half,0.44015278293538085
QB,80.16805934885973,0.4616240266963292,8,0.909189161370011,2020,model,half,0.4489374055276934
RB,58.49492671216789,0.35603313356491195,6,0.8289750914519861,2020,model,half,0.4489374055276934
WR,47.971857170678064,0.46826145134808744,5,0.8873275707184636,2020,model,half,0.4489374055276934
TE,37.40547195114715,0.42643239113827347,5,0.8855968510683875,2020,model,half,0.4489374055276934
QB,59.95339030492387,0.7188382997117968,8,0.9204888316458566,2021,model,half,0.5659052772165336
RB,53.256988904323116,0.6024481618266728,6,0.897545606304423,2021,model,half,0.5659052772165336
WR,49.75121024609294,0.48581720466780787,5,0.9005604961362014,2021,model,half,0.5659052772165336
TE,40.560160589932686,0.36568600648498545,7,0.8364650143423471,2021,model,half,0.5659052772165336
QB,73.53487877368684,0.4721407624633431,6,0.9018437660876694,2022,model,half,0.5494576060155978
RB,58.76373377013011,0.49831431965728534,6,0.8908230600908114,2022,model,half,0.5494576060155978
WR,43.4596225972313,0.677627902768781,8,0.8989532910302394,2022,model,half,0.5494576060155978
TE,32.73590898983011,0.4224658241183778,6,0.894177071105894,2022,model,half,0.5494576060155978
QB,75.31216957735809,0.5199786095089916,7,0.8470110380355236,2023,model,half,0.3760916922467572
RB,53.43762998801196,0.5100208819845136,5,0.8581752683428907,2023,model,half,0.3760916922467572
WR,49.83443865116294,0.5807483655584921,7,0.8568414356356425,2023,model,half,0.3760916922467572
TE,31.441074984916934,0.44904507257448434,6,0.8412908031965326,2023,model,half,0.3760916922467572
QB,72.53753461176288,0.5370234604105572,9,0.9192978761807353,2024,model,half,0.5682004433977726
RB,61.384322929269125,0.5339260905807169,7,0.885146059007227,2024,model,half,0.5682004433977726
WR,51.55388739784392,0.4537281919003929,4,0.9034335241183687,2024,model,half,0.5682004433977726
TE,39.989650195469224,0.3660861656379657,6,0.810733424398445,2024,model,half,0.5682004433977726
QB,121.305,0.08507517990417186,6,0.7778728072214114,2019,prior season,half,0.3119318264023188
RB,80.41966101694914,0.30726951529396757,4,0.8398306097706744,2019,prior season,half,0.3119318264023188
WR,72.08853658536586,0.20631035068688452,5,0.7805088776321882,2019,prior season,half,0.3119318264023188
TE,59.60277777777776,-0.03772127524471612,5,0.7014714204867005,2019,prior season,half,0.3119318264023188
