season,pos,n,v6_rho,adp_rho,blend_rho,v6_mae,adp_mae,blend_mae,prod_mae,prod_rho,padp_mae,padp_rho
2023,QB,24,0.28521739130434776,0.2895652173913043,0.2791304347826086,89.28250000000001,80.7193430478822,82.33967152394109,87.4,0.123,82.4,0.306
2023,RB,59,0.49197095228735416,0.412045763424514,0.4668975292364156,55.53966101694915,57.22143184252458,55.31593269865954,59.8,0.406,60.1,0.442
2023,TE,20,0.5458646616541353,0.4270676691729323,0.4781954887218045,31.52849999999999,40.07541787934458,32.851458939672284,42.1,0.247,38.5,0.395
2023,WR,71,0.6397719651240777,0.6989327543233077,0.6774983232729711,46.010563380281695,48.42846878973401,44.792082960335726,46.2,0.629,47.0,0.67
2024,QB,23,0.5454545454545454,0.46640316205533605,0.5138339920948617,66.9804347826087,66.4073388650117,66.0625824759841,70.6,0.324,70.7,0.421
2024,RB,53,0.609498467989034,0.5334623447830995,0.5998226092565715,61.13150943396225,66.46515288517006,62.747194651485565,68.7,0.413,65.9,0.49
2024,TE,18,0.5503356438093813,0.482189016245743,0.5998968274920272,38.01166666666667,34.354799055552036,35.706010638887136,41.0,0.258,31.4,0.551
2024,WR,64,0.3993131868131868,0.441150209598432,0.4378663003663003,51.38015625,46.272649836504904,46.849030213158535,49.5,0.462,49.3,0.447
2025,QB,20,-0.15939849624060148,-0.07897706462989713,-0.13984962406015036,76.52900000000001,80.33782718899845,76.86350759054014,128.2,-0.123,89.6,-0.092
2025,RB,48,0.612207235549907,0.7017505769988605,0.6677341441382175,65.731875,63.73773535599412,64.51520256985525,80.1,0.298,59.3,0.716
2025,TE,15,0.049999999999999996,-0.04642857142857142,0.06785714285714285,37.40133333333333,36.236201992739964,35.212100996369976,38.7,0.104,37.1,-0.029
2025,WR,60,0.39358701847391653,0.5104059573758648,0.4606343517303627,49.35633333333333,51.1546972888284,48.71976821780374,53.7,0.378,50.4,0.515
