player_id,name,position,team,status,age,exp,dc_rank,room_order,l1_fantasy_points_half,proj_std,proj_half,proj_ppr,p10_half,p90_half,pos_rank_half
00-0034857,Josh Allen,QB,BUF,ACT,30.3,8.0,1.0,1.0,364.6,318.7,309.9,314.5,209.0,417.5,1
00-0036389,Jalen Hurts,QB,PHI,ACT,28.1,6.0,1.0,1.0,301.1,287.2,287.8,278.7,186.9,395.4,2
00-0034796,Lamar Jackson,QB,BAL,ACT,29.6,8.0,1.0,1.0,214.9,285.5,284.1,286.6,183.2,391.7,3
00-0039918,Caleb Williams,QB,CHI,ACT,24.8,2.0,1.0,1.0,317.7,282.2,283.9,285.5,183.0,391.5,4
00-0039732,Bo Nix,QB,DEN,ACT,26.5,2.0,1.0,1.0,304.8,285.1,283.8,284.7,182.9,391.4,5
00-0034855,Baker Mayfield,QB,TB,ACT,31.4,8.0,1.0,1.0,271.9,283.0,279.9,281.6,179.0,387.5,6
00-0033106,Jared Goff,QB,DET,ACT,31.9,10.0,1.0,1.0,297.1,272.1,278.7,283.6,177.8,386.3,7
00-0039851,Drake Maye,QB,NE,ACT,24.0,2.0,1.0,1.0,351.5,275.6,272.6,277.7,171.7,380.2,8
00-0033873,Patrick Mahomes,QB,KC,ACT,31.0,9.0,1.0,1.0,285.2,271.3,265.4,264.9,164.5,373.0,9
00-0036442,Joe Burrow,QB,CIN,ACT,29.7,6.0,1.0,1.0,134.5,266.5,261.5,258.0,160.6,369.1,10
00-0036355,Justin Herbert,QB,LAC,ACT,28.5,6.0,1.0,1.0,286.9,263.7,259.8,255.9,158.9,367.4,11
00-0039910,Jayden Daniels,QB,WAS,ACT,25.7,2.0,1.0,1.0,114.3,247.7,251.7,244.6,150.8,359.3,12
00-0036971,Trevor Lawrence,QB,JAX,ACT,26.9,5.0,1.0,1.0,338.2,249.6,251.0,254.4,150.1,358.6,13
00-0038542,Bijan Robinson,RB,ATL,ACT,24.6,3.0,1.0,1.0,331.3,231.9,248.9,269.0,133.7,371.8,1
00-0039075,Puka Nacua,WR,LA,ACT,25.3,3.0,1.0,1.0,310.5,197.3,246.8,306.1,168.1,320.9,1
00-0038543,Jaxon Smith-Njigba,WR,SEA,ACT,24.5,3.0,1.0,1.0,300.4,187.7,245.3,306.3,166.6,319.4,2
00-0040691,Jaxson Dart,QB,NYG,ACT,23.3,1.0,1.0,1.0,241.6,249.0,244.2,244.2,143.3,351.8,14
00-0036963,Amon-Ra St. Brown,WR,DET,ACT,26.9,5.0,1.0,1.0,265.5,190.2,243.0,303.4,164.3,317.1,3
00-0039139,Jahmyr Gibbs,RB,DET,ACT,24.5,3.0,1.0,1.0,328.4,213.0,242.5,274.8,127.3,365.4,2
00-0036223,Jonathan Taylor,RB,IND,ACT,27.6,6.0,1.0,1.0,339.3,220.8,239.4,257.8,124.2,362.3,3
00-0037834,Brock Purdy,QB,SF,ACT,26.7,4.0,1.0,1.0,177.4,232.8,237.2,238.2,136.3,344.8,15
00-0039040,De'Von Achane,RB,MIA,ACT,24.9,3.0,1.0,1.0,289.3,210.0,232.6,258.8,117.4,355.5,4
00-0033077,Dak Prescott,QB,DAL,ACT,33.1,10.0,1.0,1.0,313.8,231.8,227.6,230.4,126.7,335.2,16
00-0036900,Ja'Marr Chase,WR,CIN,ACT,26.5,5.0,1.0,1.0,251.1,184.2,226.6,275.2,147.9,300.7,4
00-0032764,Derrick Henry,RB,BAL,ACT,32.7,10.0,1.0,1.0,272.0,216.9,223.8,244.2,108.6,346.7,5
00-0034869,Sam Darnold,QB,SEA,ACT,29.2,8.0,1.0,1.0,235.4,226.3,223.4,227.5,122.5,331.0,17
