fmt,season,ranker,draft_value,mae,rho_QB,rho_RB,rho_WR,rho_TE,rho_avg
half,2021,ADP,0.7376131649689543,52.514043186794126,0.7167277167277167,0.6651502561234055,0.46031401491973,0.2863597967904201,0.5321379461403181
half,2021,Model,0.7662822574819106,49.09476439790576,0.7069597069597069,0.6766573937269925,0.596265003114347,0.45297940241798207,0.6082153765547571
half,2021,Blend 50/50,0.7595978722514363,49.676396922539695,0.7570207570207569,0.6927545364940091,0.5769066894093539,0.4642756468673083,0.622739407447857
half,2021,Stack linear,0.7109288557838181,51.55111658388892,0.25274725274725274,0.6921946358760258,0.5814729361636877,0.40835923684314346,0.4836935154075274
half,2021,Stack GB,0.721856570887563,52.81789650592335,0.5992978241094401,0.6479624870553542,0.5147478515493008,0.27506355234109386,0.5092679287637972
half,2021,Stack avg,0.7473697818639471,51.16986826045873,0.5390720390720389,0.6779521639060786,0.5532715389555829,0.37164644238283323,0.5354855460791335
half,2022,ADP,1.0,49.119740947939945,0.2928571428571428,0.4306000918843721,0.4981960593197859,0.2657342657342658,0.37184688994889165
half,2022,Model,1.0,52.590598290598294,0.3071428571428571,0.3806335673105555,0.6782817851447146,0.18181818181818185,0.38696909785407724
half,2022,Blend 50/50,1.0000000000000002,48.83799714035048,0.4428571428571427,0.469290672971855,0.6554627034477202,0.2377622377622378,0.4513431892597389
half,2022,Stack linear,1.0,49.81424984402816,0.44999999999999996,0.46724690821495696,0.6707576555040841,0.2657342657342658,0.4634347073633267
half,2022,Stack GB,0.9999999999999999,51.793329495238766,0.10357142857142855,0.4356037918064327,0.6287582105428592,0.1958041958041958,0.3409344066812291
half,2022,Stack avg,1.0000000000000002,50.12265603249864,0.39642857142857135,0.4843722473848265,0.650220481976789,0.2657342657342658,0.4491888916311132
half,2023,ADP,0.6096879718168092,54.90378364089729,0.2895652173913043,0.412045763424514,0.6989327543233077,0.4270676691729323,0.45690285107801454
half,2023,Model,0.6344338198288878,54.63977011494253,0.14782608695652172,0.505939595898483,0.6389671361502346,0.5428571428571428,0.45889749046559547
half,2023,Blend 50/50,0.614866633115249,52.56363607606973,0.23304347826086955,0.4906266895130614,0.6838698859825619,0.5187969924812029,0.4815842615594239
half,2023,Stack linear,0.5878761952692501,52.72952213561764,0.2939130434782608,0.4917956136646203,0.6761904761904761,0.5067669172932331,0.49216651265664757
half,2023,Stack GB,0.6136688475088072,54.137854211005546,0.32695652173913037,0.44422040069617286,0.6405432595573439,0.4285714285714286,0.4600729026410189
half,2023,Stack avg,0.5926270759939607,52.34801041097017,0.3313043478260869,0.46412133437646325,0.6640174379610998,0.4601503759398496,0.4798983740258749
half,2024,ADP,0.7462724152098712,54.61935360345273,0.46640316205533605,0.5334623447830995,0.441150209598432,0.482189016245743,0.4808011831706526
half,2024,Model,0.801400909199348,55.81316455696202,0.39328063241106714,0.5772456055474923,0.4081959706959707,0.3717088776198447,0.4376077715685937
half,2024,Blend 50/50,0.7736941856304091,53.89286513219575,0.4367588932806324,0.5836961780358008,0.4514194139194139,0.5513681684694364,0.5058106634263209
half,2024,Stack linear,0.77803475103047,54.43586903737546,0.4683794466403162,0.5924044508950169,0.4523809523809523,0.5493031191493262,0.5156169922664029
half,2024,Stack GB,0.7170647174987741,56.48498461900143,0.26877470355731226,0.48347040799870994,0.3962454212454212,0.573051186330594,0.43038542978300937
half,2024,Stack avg,0.7520609402128534,55.03516523146018,0.3982213438735178,0.5361232059345267,0.4180860805860805,0.5854414822512555,0.4844680281613451
half,2025,ADP,0.910847956164536,57.89505390271671,-0.07897706462989713,0.7017505769988605,0.5104059573758648,-0.04642857142857142,0.27168772457906415
half,2025,Model,0.8358430017279683,58.41279720279721,-0.021052631578947364,0.611338779501605,0.3970324678414256,0.16785714285714282,0.28879393965530653
